# example/interaction.csv: the case that defeats the escalation pipeline.
#
# SYNTHETIC. y = x1*x2 + N(0,1), with x1 and x2 drawn symmetrically about zero.
# Generated by example/mknonlinear.c --interaction; see truth_inter() there.
#
# A straight line explains nothing here (its slope is zero in both terms) and yet
# leaves residuals with no per-term curvature to detect, so linearr's residual
# check stays silent and scripts/escalate.sh will NOT escalate. A network fits it.
# The noise is N(0,1), so 1.0 is again the best achievable held-out RMSE.
group,y,x1,x2
001,-4.7023,-3.8931,1.0035
001,-3.7636,-2.9595,1.4030
001,-8.3766,-1.9795,3.8877
001,20.6259,4.8593,4.2688
001,9.1474,3.4443,2.9661
001,6.4352,-2.1185,-2.9621
001,1.6100,0.2731,0.7424
001,6.2541,2.8388,2.4322
001,-3.6911,0.4197,-4.2238
001,-0.1229,0.3893,0.1341
001,10.5307,-2.5751,-4.0855
001,1.5032,0.9772,0.3542
001,2.9437,1.0659,3.8076
001,2.9630,4.0335,1.0806
001,1.8277,4.8423,0.3879
001,-20.3012,-4.5905,4.2919
001,-5.8932,3.9487,-1.5683
001,-9.3451,2.0308,-4.8889
001,8.9544,-4.6314,-1.6990
001,3.2176,1.1894,2.5966
001,-5.1060,-1.0666,2.0404
001,-10.6018,-4.4836,2.5919
001,-7.1734,-1.9676,3.6391
001,-9.7289,-3.3153,3.5503
001,6.1237,3.7784,1.9402
001,11.3486,-4.2969,-2.8705
001,11.1849,3.8155,3.1334
001,-2.3133,1.0025,-2.2719
001,-23.1029,-4.8131,4.9220
001,-6.9149,-4.2182,1.3986
001,0.6622,-1.4665,0.0371
001,-16.8934,4.7848,-3.9262
001,8.4897,2.1401,4.2532
001,1.8793,1.8569,1.5108
001,13.8663,-3.6986,-3.5306
001,17.2636,4.5667,3.5578
001,0.3451,-2.4151,-0.5509
001,-2.8325,1.1240,-1.2976
001,12.7988,4.3501,3.2139
001,12.7730,-2.7213,-4.4834
001,3.2201,1.9667,2.0988
001,2.0308,1.0264,1.6133
001,-9.1966,2.3868,-3.8154
001,-3.3713,0.8387,-4.0735
001,-0.5437,0.1245,3.2350
001,0.1748,0.2245,3.4335
001,0.6874,0.4563,2.3373
